index,route_name,Route_ID
1,A Route- N. Oakland / W. Shadyside,D493D9EF-7628-4116-BBEC-ADB2D208BBE5
2,AB Route- N. Oak & Shadyside Comb.,967E607E-34FD-4451-A33F-01D4B8157CD3
3,B Route- E. Shadyside,825C4CAF-C531-4DBC-B11B-F90580ABB70A
4,Bakery Square (Long),AF900FBF-8D7B-4F7C-B8BD-D0FE1453BC19
5,Bakery Square (Short),07C26A10-420F-4324-8F36-C91BC1630E9F
6,C Route- Squirrel Hill,A9E22E1E-A366-4FE4-973C-871EB78E2349
7,Contemporary Craft - Lawrenceville,BFF8598D-6782-4B41-8C62-D3A1E4F4B4DB
8,NightSafe Transit Blue Zone (Shadyside),38C552F5-A569-446F-97E1-2F72C06EB0AD
9,NightSafe Transit Blue/Green Combined,7F7F4951-FD17-49F4-A129-1551B04F063E
10,NightSafe Transit Green Zone (Oakland),B90432CE-5B11-4C6E-BC09-431F54ED5970
11,NightSafe Transit Red Zone (Sq. Hill 2),00A55A76-231F-4CF2-8B89-F6DBD518C117
12,NightSafe Transit Red/Yellow Combined,CB8AD8C3-6F50-4CD5-888E-84DD11A1E95B
13,NightSafe Transit Yellow Zone (Sq. Hill 1),D156D457-473E-405F-AF31-22E9A44AD2F2
14,PTC,D2DBA04E-C0EA-4BDD-BFEE-4A89612087FD
15,PTC & Mill 19,D73A82B6-627D-405B-9431-421535F4E021
