index,lat,lng
0,40.44541,-79.9427
1,40.4454,-79.94269
2,40.44532,-79.94261
3,40.44532,-79.94261
4,40.44551,-79.9425
5,40.44567,-79.94241
6,40.44588,-79.94229
7,40.44595,-79.94227
8,40.446,-79.94226
9,40.44604,-79.94225
10,40.44607,-79.94225
11,40.44613,-79.94225
12,40.44636,-79.94228
13,40.44654,-79.94231
14,40.4467,-79.94233
15,40.44676,-79.94234
16,40.44715,-79.9424
17,40.44743,-79.94246
18,40.44743,-79.94246
19,40.44755,-79.94093
20,40.44756,-79.94072
21,40.4476,-79.94015
22,40.44764,-79.93969
23,40.44765,-79.93953
24,40.4477,-79.93883
25,40.44773,-79.93836
26,40.44775,-79.93814
27,40.44781,-79.93729
28,40.44782,-79.93715
29,40.44782,-79.93715
30,40.44782,-79.93708
31,40.44789,-79.93615
32,40.4479,-79.93607
33,40.44791,-79.9359
34,40.44792,-79.9358
35,40.44793,-79.93576
36,40.44793,-79.93574
37,40.44794,-79.93572
38,40.44794,-79.9357
39,40.44795,-79.93567
40,40.44807,-79.93527
41,40.44823,-79.93476
42,40.44838,-79.9343
43,40.44841,-79.93421
44,40.44841,-79.93421
45,40.44852,-79.93388
46,40.4486,-79.93361
47,40.44869,-79.93334
48,40.44874,-79.93317
49,40.44886,-79.93277
50,40.44893,-79.93255
51,40.44893,-79.93255
52,40.44911,-79.93199
53,40.44914,-79.93188
54,40.44922,-79.9316
55,40.44932,-79.93129
56,40.44942,-79.93096
57,40.4496,-79.9304
58,40.44983,-79.92965
59,40.44983,-79.92965
60,40.45018,-79.92987
61,40.45052,-79.93006
62,40.4512,-79.93046
63,40.4512,-79.93046
64,40.45147,-79.93062
65,40.45174,-79.93077
66,40.45207,-79.93097
67,40.45207,-79.93097
68,40.45274,-79.93137
69,40.45301,-79.93153
70,40.45341,-79.93177
71,40.45341,-79.93177
72,40.45365,-79.93191
73,40.45373,-79.93196
74,40.45377,-79.93198
75,40.45398,-79.93211
76,40.45425,-79.93227
77,40.45473,-79.93255
78,40.45475,-79.93256
79,40.455,-79.93272
80,40.45529,-79.93288
81,40.45563,-79.93309
82,40.45571,-79.93314
83,40.45593,-79.93327
84,40.45603,-79.93333
85,40.45608,-79.93335
86,40.45608,-79.93335
87,40.4561,-79.93336
88,40.45616,-79.9334
89,40.45624,-79.93345
90,40.45626,-79.93346
91,40.45637,-79.93353
92,40.45646,-79.93358
93,40.45653,-79.93362
94,40.45688,-79.93383
95,40.45726,-79.93405
96,40.45757,-79.93416
97,40.4576,-79.93417
98,40.4577,-79.93418
99,40.4578,-79.93415
100,40.45788,-79.93412
101,40.45789,-79.93411
102,40.45801,-79.93405
103,40.45801,-79.93405
104,40.45806,-79.93402
105,40.45835,-79.93384
106,40.4586,-79.93367
107,40.45873,-79.93358
108,40.45884,-79.93352
109,40.45903,-79.93341
110,40.4591,-79.93337
111,40.45932,-79.93324
112,40.45945,-79.93316
113,40.46003,-79.93281
114,40.46058,-79.93248
115,40.46058,-79.93248
116,40.46068,-79.93241
117,40.46094,-79.93225
118,40.46102,-79.9322
119,40.46117,-79.93211
120,40.46192,-79.93165
121,40.46196,-79.93162
122,40.46207,-79.93156
123,40.46238,-79.93137
124,40.4624,-79.93136
125,40.46247,-79.93131
126,40.46268,-79.93119
127,40.46281,-79.9311
128,40.46288,-79.93106
129,40.46292,-79.93104
130,40.46298,-79.931
131,40.46311,-79.93092
132,40.46321,-79.93086
133,40.46331,-79.9308
134,40.46331,-79.9308
135,40.46346,-79.9307
136,40.46346,-79.9307
137,40.46334,-79.93036
138,40.46319,-79.92994
139,40.46296,-79.92928
140,40.46292,-79.92919
141,40.46286,-79.92901
142,40.46282,-79.92889
143,40.4627,-79.92856
144,40.46266,-79.92843
145,40.46253,-79.92802
146,40.46253,-79.92802
147,40.46248,-79.92783
148,40.46247,-79.92778
149,40.46246,-79.92775
150,40.46246,-79.92772
151,40.46236,-79.92743
152,40.46229,-79.92722
153,40.46215,-79.92683
154,40.46215,-79.92683
155,40.46169,-79.92711
156,40.46143,-79.92727
157,40.46112,-79.92746
158,40.46098,-79.92754
159,40.46075,-79.92767
160,40.46033,-79.92793
161,40.46029,-79.92796
162,40.46027,-79.92797
163,40.46026,-79.92797
164,40.46025,-79.92798
165,40.46024,-79.92798
166,40.46022,-79.92797
167,40.46016,-79.92796
168,40.46012,-79.92791
169,40.45969,-79.92769
170,40.45955,-79.92762
171,40.45943,-79.92756
172,40.45943,-79.92756
173,40.45924,-79.92746
174,40.45924,-79.92746
175,40.45938,-79.92698
176,40.4594,-79.92689
177,40.4594,-79.92689
178,40.45943,-79.92681
179,40.45949,-79.92659
180,40.45955,-79.92638
181,40.45964,-79.92607
182,40.45968,-79.92594
183,40.45971,-79.92584
184,40.45973,-79.92576
185,40.45995,-79.92504
186,40.46005,-79.92473
187,40.46016,-79.92437
188,40.46025,-79.92405
189,40.46028,-79.92395
190,40.46028,-79.92395
191,40.46033,-79.92378
192,40.46043,-79.92347
193,40.46057,-79.92301
194,40.46058,-79.92294
195,40.4606,-79.92288
196,40.46062,-79.92285
197,40.46065,-79.9228
198,40.46068,-79.92275
199,40.46068,-79.92275
200,40.46064,-79.92264
201,40.46061,-79.92255
202,40.46059,-79.92248
203,40.46049,-79.92218
204,40.46036,-79.92182
205,40.46027,-79.92172
206,40.46017,-79.92147
207,40.46017,-79.92147
208,40.46016,-79.92144
209,40.46009,-79.92131
210,40.45997,-79.92114
211,40.45986,-79.92097
212,40.45985,-79.92095
213,40.45984,-79.92094
214,40.45983,-79.92092
215,40.45982,-79.92091
216,40.45978,-79.92085
217,40.45976,-79.92082
218,40.45976,-79.92082
219,40.45968,-79.921
220,40.45957,-79.92122
221,40.45946,-79.92147
222,40.45942,-79.92155
223,40.45937,-79.92165
224,40.45933,-79.92173
225,40.45925,-79.9219
226,40.45925,-79.9219
227,40.45919,-79.92201
228,40.45906,-79.92205
229,40.45894,-79.92209
230,40.45839,-79.9222
231,40.45821,-79.92224
232,40.4581,-79.92226
233,40.45723,-79.92239
234,40.45707,-79.92242
235,40.45695,-79.92244
236,40.45685,-79.92245
237,40.45685,-79.92245
238,40.45679,-79.92246
239,40.45588,-79.92256
240,40.45588,-79.92256
241,40.45555,-79.92236
242,40.45532,-79.92222
243,40.45527,-79.92219
244,40.45453,-79.92172
245,40.45453,-79.92172
246,40.45422,-79.92153
247,40.45405,-79.92142
248,40.45371,-79.92121
249,40.45355,-79.9211
250,40.45333,-79.92097
251,40.45328,-79.92093
252,40.45307,-79.9208
253,40.45302,-79.92077
254,40.45298,-79.92075
255,40.4529,-79.92072
256,40.4529,-79.92072
257,40.45278,-79.92155
258,40.45276,-79.92173
259,40.45275,-79.92177
260,40.45273,-79.92191
261,40.45269,-79.92207
262,40.45258,-79.92238
263,40.45258,-79.92238
264,40.45235,-79.92293
265,40.4521,-79.92357
266,40.45193,-79.92398
267,40.45193,-79.92398
268,40.45168,-79.92461
269,40.45149,-79.92507
270,40.45137,-79.92537
271,40.45132,-79.92549
272,40.4512,-79.92579
273,40.4512,-79.92579
274,40.45116,-79.92588
275,40.45101,-79.92626
276,40.45074,-79.92692
277,40.4505,-79.9275
278,40.4505,-79.9275
279,40.45046,-79.92764
280,40.45032,-79.92807
281,40.45021,-79.92844
282,40.45019,-79.9285
283,40.45015,-79.92862
284,40.45004,-79.929
285,40.44983,-79.92965
286,40.44983,-79.92965
287,40.4496,-79.9304
288,40.44942,-79.93096
289,40.44932,-79.93129
290,40.44922,-79.9316
291,40.44914,-79.93188
292,40.44911,-79.93199
293,40.44893,-79.93255
294,40.44893,-79.93255
295,40.44886,-79.93277
296,40.44874,-79.93317
297,40.44869,-79.93334
298,40.4486,-79.93361
299,40.44852,-79.93388
300,40.44841,-79.93421
301,40.44841,-79.93421
302,40.44838,-79.9343
303,40.44823,-79.93476
304,40.44807,-79.93527
305,40.44795,-79.93567
306,40.44794,-79.9357
307,40.44794,-79.93572
308,40.44793,-79.93574
309,40.44793,-79.93576
310,40.44792,-79.9358
311,40.44791,-79.9359
312,40.4479,-79.93607
313,40.44789,-79.93615
314,40.44782,-79.93708
315,40.44782,-79.93715
316,40.44782,-79.93715
317,40.44781,-79.93729
318,40.44775,-79.93814
319,40.44773,-79.93836
320,40.4477,-79.93883
321,40.44765,-79.93953
322,40.44764,-79.93969
323,40.4476,-79.94015
324,40.44756,-79.94072
325,40.44755,-79.94093
326,40.44743,-79.94246
327,40.44743,-79.94246
328,40.44715,-79.9424
329,40.44676,-79.94234
330,40.4467,-79.94233
331,40.44654,-79.94231
332,40.44636,-79.94228
333,40.44613,-79.94225
334,40.44607,-79.94225
335,40.44604,-79.94225
336,40.446,-79.94226
337,40.44595,-79.94227
338,40.44588,-79.94229
339,40.44567,-79.94241
340,40.44567,-79.94241
341,40.44567,-79.94254
342,40.44566,-79.94255
343,40.44562,-79.94258
344,40.44543,-79.9427
