order,stop_id,name,lat,lng
0,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,Morewood Gardens Turn-around,40.445417,-79.942778
1,5965691a-b592-4e49-8cb7-cf997fa8b164,Fifth Ave. at Wilkins Ave.,40.447813,-79.937147
2,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
3,84e3df51-1618-4430-9723-e7a58b9532bf,Fifth Ave. at Bellefonte St.,40.448918,-79.932547
4,615f6abf-a1d4-4679-a8dc-140f707e84b5,S. Negley Ave. at Howe St.,40.451201,-79.930458
5,68a9aef8-ca58-492e-af12-da53fbbe925f,S. Negley Ave. at Walnut St.,40.452063,-79.930957
6,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,S. Negley Ave. at Elmer St.,40.453415,-79.931761
7,eb44021a-5557-4142-bdcd-cc946d1e0203,S. Negley Ave. at Ellsworth Ave.,40.454733,-79.932548
8,2987ba0b-ae93-47b5-854d-37adf49426e3,S. Negley Ave. at PRT E. Busway,40.456083,-79.933333
9,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,S. Negley Ave. at Baum Blvd.,40.457972,-79.933944
10,a2dbee05-84fd-4951-9c67-115928124323,S. Negley Ave. at Friendship Ave,40.460556,-79.932417
11,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,S. Negley Ave. at Penn Ave.,40.463278,-79.930722
12,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,Penn Ave. at Whole Foods,40.462472,-79.928056
13,4977f8f4-05c2-4721-90f0-cde4ad5a55da,S. Beatty St. at Centre Ave.,40.459417,-79.927611
14,a01ee824-2209-4927-8252-532d8c50b9f1,Centre Ave. at Walgreens,40.459361,-79.926861
15,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,Centre Ave. at Annie Place,40.460289,-79.923946
16,37f01e68-57ab-4386-b38a-811e9f6b9a29,Penn Ave. at Target,40.460083,-79.921528
17,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,Shady Ave. at Ellsworth Ave.,40.459306,-79.921944
18,49c6247e-131e-4c0b-968e-665e5f320ba3,Shady Ave. at Alder St.,40.456861,-79.922528
19,076c69a1-d116-4350-991f-e18676b95b43,Shady Ave. at Walnut St.,40.455868,-79.922566
20,64aa846f-36fb-446d-99c4-cd33e19583de,Shady Ave. at Howe St.,40.454534,-79.92173
21,f32c4dc4-4df2-457f-9b7a-240aa8a48667,Fifth Ave. at Shady Ave.,40.452885,-79.920715
22,530092c6-9a75-4620-89c7-f0ffe9e8c7c4,Fifth Ave. at Emerson St.,40.452576,-79.922369
23,a1e0a969-63dd-407e-b114-68aa4eaffaeb,Fifth Ave. at S. Highland St,40.451935,-79.923988
24,5e91626f-13ea-4af1-a4de-f3e56109a7e0,Fifth Ave. at College Ave.,40.451209,-79.925795
25,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,Fifth Ave. at Maryland Ave.,40.45051,-79.927503
26,3836cf24-b1b8-46a5-a00c-aa245fd3332d,Fifth Ave. at S. Negley Ave.,40.449827,-79.929649
27,84e3df51-1618-4430-9723-e7a58b9532bf,Fifth Ave. at Bellefonte St.,40.448918,-79.932547
28,b953e313-52af-41ea-97cc-4f6b3f37614b,Fifth Ave. at S. Aiken Ave.,40.448402,-79.934211
29,5965691a-b592-4e49-8cb7-cf997fa8b164,Fifth Ave. at Wilkins Ave.,40.447813,-79.937147
