ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
297f777d-4ef1-4b9c-9cdd-e83b6bf32ce2,server/controllers/account.controller.ts,server,11,2.631579,179,192
297f777d-4ef1-4b9c-9cdd-e83b6bf32ce2,server/controllers/account.controller.ts,server,11,2.631579,247,260
297f777d-4ef1-4b9c-9cdd-e83b6bf32ce2,server/controllers/account.controller.ts,server,11,2.631579,372,385
297f777d-4ef1-4b9c-9cdd-e83b6bf32ce2,server/controllers/account.controller.ts,server,11,2.631579,443,456
297f777d-4ef1-4b9c-9cdd-e83b6bf32ce2,server/controllers/account.controller.ts,server,11,2.631579,545,558
297f777d-4ef1-4b9c-9cdd-e83b6bf32ce2,server/controllers/account.controller.ts,server,11,2.631579,616,629
757c7dac-6a2f-4f57-92d0-c06396a65b5d,server/controllers/auth.controller.ts,server,12,6.2176166,84,101
757c7dac-6a2f-4f57-92d0-c06396a65b5d,server/controllers/auth.controller.ts,server,12,6.2176166,197,213
757c7dac-6a2f-4f57-92d0-c06396a65b5d,server/controllers/auth.controller.ts,server,12,6.2176166,249,264
757c7dac-6a2f-4f57-92d0-c06396a65b5d,server/controllers/auth.controller.ts,server,12,6.2176166,287,302
757c7dac-6a2f-4f57-92d0-c06396a65b5d,server/controllers/map.controller.ts,server,12,16.438356,92,107
25c82b33-ac94-4dc0-8651-17dbd6838244,server/controllers/account.controller.ts,server,19,4.5454545,179,204
25c82b33-ac94-4dc0-8651-17dbd6838244,server/controllers/account.controller.ts,server,19,4.5454545,247,272
25c82b33-ac94-4dc0-8651-17dbd6838244,server/controllers/account.controller.ts,server,19,4.5454545,616,641
e49d2c45-7ef1-426a-a177-1e24a59b8cbc,server/services/trip-updates.service.ts,server,33,26.4,78,150
e49d2c45-7ef1-426a-a177-1e24a59b8cbc,server/services/vehicle-positions.service.ts,server,33,24.444445,84,156
512baaef-230c-4261-b41f-3d6fd846a014,client/scripts/map.ts,scripts,11,2.2727273,348,362
512baaef-230c-4261-b41f-3d6fd846a014,client/scripts/map.ts,scripts,11,2.2727273,407,421
512baaef-230c-4261-b41f-3d6fd846a014,client/scripts/map.ts,scripts,11,2.2727273,447,461
512baaef-230c-4261-b41f-3d6fd846a014,client/scripts/map.ts,scripts,11,2.2727273,488,502
dd039a9a-97e1-4515-9c43-45a2b6d570c4,server/controllers/auth.controller.ts,server,14,7.253886,249,267
dd039a9a-97e1-4515-9c43-45a2b6d570c4,server/controllers/auth.controller.ts,server,14,7.253886,287,305
dd039a9a-97e1-4515-9c43-45a2b6d570c4,server/controllers/map.controller.ts,server,14,19.178082,92,110
34bd59d2-0399-4266-8dd3-7489252f8d1e,client/scripts/map.ts,scripts,14,2.892562,363,381
34bd59d2-0399-4266-8dd3-7489252f8d1e,client/scripts/map.ts,scripts,14,2.892562,537,555
34bd59d2-0399-4266-8dd3-7489252f8d1e,client/scripts/map.ts,scripts,14,2.892562,578,596
cfad117f-6f19-4a7b-b552-41ce3d664709,server/controllers/auth.controller.ts,server,13,6.735751,196,213
cfad117f-6f19-4a7b-b552-41ce3d664709,server/controllers/auth.controller.ts,server,13,6.735751,286,302
cfad117f-6f19-4a7b-b552-41ce3d664709,server/controllers/map.controller.ts,server,13,17.80822,91,107
7fa6f1ca-ed4b-4de8-9fed-d0f4c2eb21c1,client/scripts/components/calendar-picker.ts,scripts,13,12.149532,61,85
7fa6f1ca-ed4b-4de8-9fed-d0f4c2eb21c1,client/scripts/components/route-selector.ts,scripts,13,9.62963,88,112
7fa6f1ca-ed4b-4de8-9fed-d0f4c2eb21c1,client/scripts/components/time-picker.ts,scripts,13,8.387096,83,107
d758a9cd-c9f0-4472-8310-477309602483,server/controllers/account.controller.ts,server,24,5.7416267,53,82
d758a9cd-c9f0-4472-8310-477309602483,server/controllers/notification.controller.ts,server,24,15.094339,37,65
a1bb37b5-8942-47d1-9dfe-8d1be152fa71,server/controllers/account.controller.ts,server,9,2.15311,131,140
