Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
11 lines occurring 6 times,HIGH,RAW,1,11,55,6,true,true,TypeScript,"server/controllers/account.controller.ts#L179:192,server/controllers/account.controller.ts#L247:260,server/controllers/account.controller.ts#L372:385,server/controllers/account.controller.ts#L443:456,server/controllers/account.controller.ts#L545:558,server/controllers/account.controller.ts#L616:629"
12 lines occurring 5 times in 2 files,HIGH,RAW,1,12,48,5,false,true,TypeScript,"server/controllers/auth.controller.ts#L84:101,server/controllers/auth.controller.ts#L197:213,server/controllers/auth.controller.ts#L249:264,server/controllers/auth.controller.ts#L287:302,server/controllers/map.controller.ts#L92:107"
19 lines occurring 3 times,HIGH,RAW,1,19,38,3,true,true,TypeScript,"server/controllers/account.controller.ts#L179:204,server/controllers/account.controller.ts#L247:272,server/controllers/account.controller.ts#L616:641"
33 lines occurring 2 times in 2 files,HIGH,RAW,2,33,33,2,false,true,TypeScript,"server/services/trip-updates.service.ts#L78:150,server/services/vehicle-positions.service.ts#L84:156"
11 lines occurring 4 times,HIGH,RAW,1,11,33,4,true,true,TypeScript,"client/scripts/map.ts#L348:362,client/scripts/map.ts#L407:421,client/scripts/map.ts#L447:461,client/scripts/map.ts#L488:502"
14 lines occurring 3 times in 2 files,HIGH,RAW,1,14,28,3,false,true,TypeScript,"server/controllers/auth.controller.ts#L249:267,server/controllers/auth.controller.ts#L287:305,server/controllers/map.controller.ts#L92:110"
14 lines occurring 3 times,HIGH,RAW,1,14,28,3,true,true,TypeScript,"client/scripts/map.ts#L363:381,client/scripts/map.ts#L537:555,client/scripts/map.ts#L578:596"
13 lines occurring 3 times in 2 files,HIGH,RAW,1,13,26,3,false,true,TypeScript,"server/controllers/auth.controller.ts#L196:213,server/controllers/auth.controller.ts#L286:302,server/controllers/map.controller.ts#L91:107"
13 lines occurring 3 times in 3 files,HIGH,RAW,1,13,26,3,false,true,TypeScript,"client/scripts/components/calendar-picker.ts#L61:85,client/scripts/components/route-selector.ts#L88:112,client/scripts/components/time-picker.ts#L83:107"
24 lines occurring 2 times in 2 files,HIGH,RAW,1,24,24,2,false,true,TypeScript,"server/controllers/account.controller.ts#L53:82,server/controllers/notification.controller.ts#L37:65"
9 lines occurring 6 times,HIGH,RAW,8,9,45,6,true,true,TypeScript,"server/controllers/account.controller.ts#L131:140,server/controllers/account.controller.ts#L183:192,server/controllers/account.controller.ts#L251:260,server/controllers/account.controller.ts#L447:456,server/controllers/account.controller.ts#L549:558,server/controllers/account.controller.ts#L620:629"
20 lines occurring 2 times,HIGH,RAW,8,20,20,2,true,true,TypeScript,"client/scripts/map.ts#L348:374,client/scripts/map.ts#L407:433"
20 lines occurring 2 times,HIGH,RAW,8,20,20,2,true,true,TypeScript,"client/scripts/map.ts#L355:381,client/scripts/map.ts#L570:596"
18 lines occurring 2 times,HIGH,RAW,8,18,18,2,true,true,TypeScript,"server/controllers/account.controller.ts#L443:467,server/controllers/account.controller.ts#L545:569"
17 lines occurring 2 times,HIGH,RAW,8,17,17,2,true,true,TypeScript,"client/scripts/map.ts#L347:369,client/scripts/map.ts#L444:468"
16 lines occurring 2 times,HIGH,RAW,8,16,16,2,true,true,TypeScript,"client/scripts/map.ts#L407:428,client/scripts/map.ts#L447:468"
16 lines occurring 2 times in 2 files,HIGH,RAW,2,16,16,2,false,true,TypeScript,"server/controllers/auth.controller.ts#L284:305,server/controllers/map.controller.ts#L89:110"
15 lines occurring 2 times,HIGH,RAW,8,15,15,2,true,true,TypeScript,"server/controllers/auth.controller.ts#L110:130,server/controllers/auth.controller.ts#L222:242"
14 lines occurring 2 times in 2 files,HIGH,RAW,1,14,14,2,false,true,TypeScript,"client/scripts/components/calendar-picker.ts#L61:88,client/scripts/components/time-picker.ts#L83:110"
9 lines occurring 4 times,HIGH,RAW,1,9,27,4,true,true,TypeScript,"client/scripts/map.ts#L370:381,client/scripts/map.ts#L503:514,client/scripts/map.ts#L544:555,client/scripts/map.ts#L585:596"
13 lines occurring 2 times,HIGH,RAW,8,13,13,2,true,true,TypeScript,"server/controllers/account.controller.ts#L131:147,server/controllers/account.controller.ts#L376:392"
9 lines occurring 4 times in 4 files,HIGH,RAW,1,9,27,4,false,true,TypeScript,"client/scripts/components/calendar-picker.ts#L63:77,client/scripts/components/route-selector.ts#L90:104,client/scripts/components/time-picker.ts#L85:99,client/scripts/components/toggle-panel.ts#L151:165"
12 lines occurring 2 times,HIGH,RAW,8,12,12,2,true,true,TypeScript,"server/services/tripshot.service.ts#L263:277,server/services/tripshot.service.ts#L354:369"
12 lines occurring 2 times in 2 files,HIGH,RAW,2,12,12,2,false,true,TypeScript,"server/services/trip-updates.service.ts#L236:248,server/services/vehicle-positions.service.ts#L245:257"
11 lines occurring 2 times in 2 files,HIGH,RAW,8,11,11,2,false,true,TypeScript,"client/scripts/controllers/filter-controller.ts#L826:843,client/scripts/trackers/vehicle-tracker.ts#L367:385"
10 lines occurring 2 times,HIGH,RAW,8,10,10,2,true,true,TypeScript,"client/scripts/state/map-state.ts#L41:51,client/scripts/state/map-state.ts#L136:146"
10 lines occurring 2 times,HIGH,RAW,8,10,10,2,true,true,TypeScript,"client/scripts/auth.ts#L348:370,client/scripts/auth.ts#L478:500"
7 lines occurring 6 times,HIGH,RAW,1,7,35,6,true,true,TypeScript,"server/controllers/account.controller.ts#L173:180,server/controllers/account.controller.ts#L231:238,server/controllers/account.controller.ts#L352:359,server/controllers/account.controller.ts#L427:434,server/controllers/account.controller.ts#L529:536,server/controllers/account.controller.ts#L600:607"
