Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 74 for unit map.ts.setupMapEventListeners(),HIGH,RAW,8,map.ts.setupMapEventListeners(),client/scripts/map.ts#L386:701,TypeScript,264,74,0
McCabe complexity of 60 for unit auth.ts,HIGH,RAW,8,auth.ts,client/scripts/auth.ts#L1:10,TypeScript,259,60,0
McCabe complexity of 27 for unit account.ts,HIGH,RAW,8,account.ts,client/scripts/account.ts#L1:20,TypeScript,218,27,0
McCabe complexity of 48 for unit GTFSService.load(),HIGH,RAW,8,GTFSService.load(),server/services/gtfs.service.ts#L74:92,TypeScript,215,48,0
"McCabe complexity of 35 for unit NotificationModel.submitReport(string,any)",HIGH,RAW,1,"NotificationModel.submitReport(string,any)",server/models/notification.model.ts#L139:312,TypeScript,130,35,2
McCabe complexity of 55 for unit account.ts.handleSave(),HIGH,RAW,8,account.ts.handleSave(),client/scripts/account.ts#L516:726,TypeScript,77,55,0
McCabe complexity of 46 for unit env.ts,HIGH,RAW,8,env.ts,server/env.ts#L3:57,TypeScript,33,46,0
"McCabe complexity of 12 for unit BusController.getMemorySummary(Request,Response)",MEDIUM,RAW,8,"BusController.getMemorySummary(Request,Response)",server/controllers/transit.controller.ts#L122:239,TypeScript,98,12,2
McCabe complexity of 12 for unit App.listen(),MEDIUM,RAW,8,App.listen(),server/app.ts#L314:429,TypeScript,96,12,0
McCabe complexity of 25 for unit VehiclePositionsService.fetchAndStore(),MEDIUM,RAW,8,VehiclePositionsService.fetchAndStore(),server/services/vehicle-positions.service.ts#L154:260,TypeScript,94,25,0
"McCabe complexity of 12 for unit AuthController.login(Request,Response)",MEDIUM,RAW,8,"AuthController.login(Request,Response)",server/controllers/auth.controller.ts#L108:218,TypeScript,92,12,2
McCabe complexity of 13 for unit App.configureApp(boolean),MEDIUM,RAW,8,App.configureApp(boolean),server/app.ts#L69:148,TypeScript,91,13,1
McCabe complexity of 25 for unit TripUpdatesService.fetchAndStore(),MEDIUM,RAW,8,TripUpdatesService.fetchAndStore(),server/services/trip-updates.service.ts#L148:251,TypeScript,86,25,0
"McCabe complexity of 19 for unit RouteRenderer.renderRouteGeometry(string,RouteData,string)",MEDIUM,RAW,8,"RouteRenderer.renderRouteGeometry(string,RouteData,string)",client/scripts/renderers/route-renderer.ts#L149:257,TypeScript,78,19,3
"McCabe complexity of 15 for unit AuthController.agreed(Request,Response)",MEDIUM,RAW,8,"AuthController.agreed(Request,Response)",server/controllers/auth.controller.ts#L220:307,TypeScript,76,15,2
"McCabe complexity of 12 for unit AccountController.updateStatus(Request,Response)",MEDIUM,RAW,8,"AccountController.updateStatus(Request,Response)",server/controllers/account.controller.ts#L227:317,TypeScript,72,12,2
McCabe complexity of 14 for unit FilterController.applyDirectionFilter(),MEDIUM,RAW,8,FilterController.applyDirectionFilter(),client/scripts/controllers/filter-controller.ts#L501:588,TypeScript,71,14,0
McCabe complexity of 21 for unit AlertsService.fetchAlerts(),MEDIUM,RAW,1,AlertsService.fetchAlerts(),server/services/alerts.service.ts#L87:164,TypeScript,65,21,0
McCabe complexity of 15 for unit FilterController.applySystemFilter(),MEDIUM,RAW,8,FilterController.applySystemFilter(),client/scripts/controllers/filter-controller.ts#L210:288,TypeScript,60,15,0
McCabe complexity of 13 for unit FilterController.applyDateTimeFilter(),MEDIUM,RAW,8,FilterController.applyDateTimeFilter(),client/scripts/controllers/filter-controller.ts#L416:496,TypeScript,58,13,0
