Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit RouteRenderer.renderRouteGeometry(string,RouteData,string)",LOW,RAW,8,"RouteRenderer.renderRouteGeometry(string,RouteData,string)",client/scripts/renderers/route-renderer.ts#L149:257,TypeScript,78,19,3
"3 parameters for unit App.enforceHttps(Request,Response,NextFunction)",LOW,RAW,8,"App.enforceHttps(Request,Response,NextFunction)",server/app.ts#L230:284,TypeScript,43,23,3
"3 parameters for unit TrueTimeService.call(string,Record<string, string>,any)",LOW,RAW,8,"TrueTimeService.call(string,Record<string, string>,any)",server/services/truetime.service.ts#L135:177,TypeScript,30,6,3
"3 parameters for unit NotificationController.handleError(Response,unknown,responses.ServerErrorName)",LOW,RAW,1,"NotificationController.handleError(Response,unknown,responses.ServerErrorName)",server/controllers/notification.controller.ts#L221:252,TypeScript,27,8,3
"4 parameters for unit RouteRenderer.renderStopMarkers(string,IStop[],string,void)",LOW,RAW,8,"RouteRenderer.renderStopMarkers(string,IStop[],string,void)",client/scripts/renderers/route-renderer.ts#L263:302,TypeScript,26,4,4
"3 parameters for unit MapController.authorize(Request,Response,NextFunction)",LOW,RAW,8,"MapController.authorize(Request,Response,NextFunction)",server/controllers/map.controller.ts#L28:63,TypeScript,26,3,3
"3 parameters for unit NotificationController.authenticateToken(Request,Response,NextFunction)",LOW,RAW,1,"NotificationController.authenticateToken(Request,Response,NextFunction)",server/controllers/notification.controller.ts#L37:67,TypeScript,25,4,3
"3 parameters for unit AccountController.authenticateToken(Request,Response,NextFunction)",LOW,RAW,8,"AccountController.authenticateToken(Request,Response,NextFunction)",server/controllers/account.controller.ts#L53:84,TypeScript,25,4,3
"3 parameters for unit EmailService.sendEmail(string,string,string)",LOW,RAW,8,"EmailService.sendEmail(string,string,string)",server/services/email.service.ts#L34:60,TypeScript,21,2,3
"3 parameters for unit account.ts.patchAccount(string,string,Record<string, unknown>)",LOW,RAW,8,"account.ts.patchAccount(string,string,Record<string, unknown>)",client/scripts/account.ts#L280:297,TypeScript,14,2,3
"3 parameters for unit VehicleTracker.addDetailRow(HTMLElement,string,string)",LOW,RAW,8,"VehicleTracker.addDetailRow(HTMLElement,string,string)",client/scripts/trackers/vehicle-tracker.ts#L444:463,TypeScript,13,1,3
"3 parameters for unit GoogleMapProvider.setIcon(any,any,any)",LOW,RAW,8,"GoogleMapProvider.setIcon(any,any,any)",client/scripts/maps/google-map.provider.ts#L120:138,TypeScript,11,2,3
"3 parameters for unit transit.model.ts.writeCache(string,ITransitCache['dataType'],ITransitCache['data'])",LOW,RAW,8,"transit.model.ts.writeCache(string,ITransitCache['dataType'],ITransitCache['data'])",server/models/transit.model.ts#L45:58,TypeScript,10,1,3
"4 parameters for unit notification.model.ts.haversineDistanceMiles(number,number,number,number)",LOW,RAW,1,"notification.model.ts.haversineDistanceMiles(number,number,number,number)",server/models/notification.model.ts#L31:36,TypeScript,9,1,4
"3 parameters for unit transit.controller.ts.parseLimit(string|undefined,number,number)",LOW,RAW,6,"transit.controller.ts.parseLimit(string|undefined,number,number)",server/controllers/transit.controller.ts#L21:31,TypeScript,7,3,3
"3 parameters for unit User.constructor(ILogin,string,boolean)",LOW,RAW,8,"User.constructor(ILogin,string,boolean)",server/models/user.model.ts#L22:27,TypeScript,6,1,3
"3 parameters for unit auth.ts.openTermsModal(string,string,boolean)",LOW,RAW,8,"auth.ts.openTermsModal(string,string,boolean)",client/scripts/auth.ts#L215:224,TypeScript,6,1,3
"3 parameters for unit RouteRenderer.zoomToPosition(number,number,number)",LOW,RAW,8,"RouteRenderer.zoomToPosition(number,number,number)",client/scripts/renderers/route-renderer.ts#L582:586,TypeScript,5,2,3
"3 parameters for unit App.serverLogger(Request,Response,NextFunction)",LOW,RAW,8,"App.serverLogger(Request,Response,NextFunction)",server/app.ts#L286:289,TypeScript,3,1,3
"3 parameters for unit BusController.parseLimit(string|undefined,number,number)",LOW,RAW,8,"BusController.parseLimit(string|undefined,number,number)",server/controllers/transit.controller.ts#L904:910,TypeScript,3,1,3
