Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"657 lines of code for unit BusController.getMemoryDashboard(Request,Response)",HIGH,RAW,8,"BusController.getMemoryDashboard(Request,Response)",server/controllers/transit.controller.ts#L242:902,TypeScript,657,1,2
264 lines of code for unit map.ts.setupMapEventListeners(),HIGH,RAW,8,map.ts.setupMapEventListeners(),client/scripts/map.ts#L386:701,TypeScript,264,74,0
259 lines of code for unit auth.ts,HIGH,RAW,8,auth.ts,client/scripts/auth.ts#L1:10,TypeScript,259,60,0
218 lines of code for unit account.ts,HIGH,RAW,8,account.ts,client/scripts/account.ts#L1:20,TypeScript,218,27,0
215 lines of code for unit GTFSService.load(),HIGH,RAW,8,GTFSService.load(),server/services/gtfs.service.ts#L74:92,TypeScript,215,48,0
"130 lines of code for unit NotificationModel.submitReport(string,any)",HIGH,RAW,1,"NotificationModel.submitReport(string,any)",server/models/notification.model.ts#L139:312,TypeScript,130,35,2
"98 lines of code for unit BusController.getMemorySummary(Request,Response)",HIGH,RAW,8,"BusController.getMemorySummary(Request,Response)",server/controllers/transit.controller.ts#L122:239,TypeScript,98,12,2
96 lines of code for unit App.listen(),HIGH,RAW,8,App.listen(),server/app.ts#L314:429,TypeScript,96,12,0
96 lines of code for unit tripshot.service.ts,HIGH,RAW,8,tripshot.service.ts,server/services/tripshot.service.ts#L4:163,TypeScript,96,1,0
94 lines of code for unit VehiclePositionsService.fetchAndStore(),HIGH,RAW,8,VehiclePositionsService.fetchAndStore(),server/services/vehicle-positions.service.ts#L154:260,TypeScript,94,25,0
"92 lines of code for unit AuthController.login(Request,Response)",HIGH,RAW,8,"AuthController.login(Request,Response)",server/controllers/auth.controller.ts#L108:218,TypeScript,92,12,2
91 lines of code for unit App.configureApp(boolean),HIGH,RAW,8,App.configureApp(boolean),server/app.ts#L69:148,TypeScript,91,13,1
88 lines of code for unit mongo.db.ts,HIGH,RAW,8,mongo.db.ts,server/db/mongo.db.ts#L4:136,TypeScript,88,1,0
86 lines of code for unit TripUpdatesService.fetchAndStore(),HIGH,RAW,8,TripUpdatesService.fetchAndStore(),server/services/trip-updates.service.ts#L148:251,TypeScript,86,25,0
"82 lines of code for unit AccountController.updateUsername(Request,Response)",HIGH,RAW,8,"AccountController.updateUsername(Request,Response)",server/controllers/account.controller.ts#L423:519,TypeScript,82,8,2
"78 lines of code for unit RouteRenderer.renderRouteGeometry(string,RouteData,string)",HIGH,RAW,8,"RouteRenderer.renderRouteGeometry(string,RouteData,string)",client/scripts/renderers/route-renderer.ts#L149:257,TypeScript,78,19,3
77 lines of code for unit account.ts.handleSave(),HIGH,RAW,8,account.ts.handleSave(),client/scripts/account.ts#L516:726,TypeScript,77,55,0
"76 lines of code for unit AuthController.agreed(Request,Response)",HIGH,RAW,8,"AuthController.agreed(Request,Response)",server/controllers/auth.controller.ts#L220:307,TypeScript,76,15,2
73 lines of code for unit map.ts,HIGH,RAW,8,map.ts,client/scripts/map.ts#L1:45,TypeScript,73,7,0
"72 lines of code for unit AccountController.updateStatus(Request,Response)",HIGH,RAW,8,"AccountController.updateStatus(Request,Response)",server/controllers/account.controller.ts#L227:317,TypeScript,72,12,2
71 lines of code for unit FilterController.applyDirectionFilter(),HIGH,RAW,8,FilterController.applyDirectionFilter(),client/scripts/controllers/filter-controller.ts#L501:588,TypeScript,71,14,0
"66 lines of code for unit TripshotService.getStops(string,string)",HIGH,RAW,8,"TripshotService.getStops(string,string)",server/services/tripshot.service.ts#L352:435,TypeScript,66,10,2
65 lines of code for unit AlertsService.fetchAlerts(),HIGH,RAW,1,AlertsService.fetchAlerts(),server/services/alerts.service.ts#L87:164,TypeScript,65,21,0
"65 lines of code for unit AuthController.register(Request,Response)",HIGH,RAW,8,"AuthController.register(Request,Response)",server/controllers/auth.controller.ts#L32:106,TypeScript,65,10,2
64 lines of code for unit CalendarPickerPanel.render(),HIGH,RAW,8,CalendarPickerPanel.render(),client/scripts/components/calendar-picker.ts#L88:164,TypeScript,64,10,0
64 lines of code for unit TimePickerPanel.attachEvents(),HIGH,RAW,8,TimePickerPanel.attachEvents(),client/scripts/components/time-picker.ts#L180:258,TypeScript,64,8,0
60 lines of code for unit TransitModel.refreshAllCaches(),MEDIUM,RAW,8,TransitModel.refreshAllCaches(),server/models/transit.model.ts#L315:384,TypeScript,60,10,0
60 lines of code for unit FilterController.applySystemFilter(),MEDIUM,RAW,8,FilterController.applySystemFilter(),client/scripts/controllers/filter-controller.ts#L210:288,TypeScript,60,15,0
"60 lines of code for unit AccountController.updatePassword(Request,Response)",MEDIUM,RAW,8,"AccountController.updatePassword(Request,Response)",server/controllers/account.controller.ts#L596:665,TypeScript,60,7,2
"60 lines of code for unit AccountController.updatePrivilege(Request,Response)",MEDIUM,RAW,8,"AccountController.updatePrivilege(Request,Response)",server/controllers/account.controller.ts#L348:417,TypeScript,60,7,2
59 lines of code for unit RouteSelectorPanel.attachEvents(),MEDIUM,RAW,8,RouteSelectorPanel.attachEvents(),client/scripts/components/route-selector.ts#L179:251,TypeScript,59,9,0
58 lines of code for unit FilterController.applyDateTimeFilter(),MEDIUM,RAW,8,FilterController.applyDateTimeFilter(),client/scripts/controllers/filter-controller.ts#L416:496,TypeScript,58,13,0
58 lines of code for unit map.ts.getUser(string),MEDIUM,RAW,8,map.ts.getUser(string),client/scripts/map.ts#L113:182,TypeScript,58,15,1
"58 lines of code for unit FilterController.showStopPopup(IStop,IPrediction[])",MEDIUM,RAW,8,"FilterController.showStopPopup(IStop,IPrediction[])",client/scripts/controllers/filter-controller.ts#L824:897,TypeScript,58,9,2
56 lines of code for unit account.ts.connectSocket(),MEDIUM,RAW,8,account.ts.connectSocket(),client/scripts/account.ts#L303:369,TypeScript,56,19,0
"56 lines of code for unit AccountController.updateEmail(Request,Response)",MEDIUM,RAW,8,"AccountController.updateEmail(Request,Response)",server/controllers/account.controller.ts#L525:590,TypeScript,56,6,2
53 lines of code for unit VehicleTracker.showVehiclePopup(string),MEDIUM,RAW,8,VehicleTracker.showVehiclePopup(string),client/scripts/trackers/vehicle-tracker.ts#L362:439,TypeScript,53,9,1
51 lines of code for unit map.ts.requestUserLocation(),MEDIUM,RAW,8,map.ts.requestUserLocation(),client/scripts/map.ts#L704:766,TypeScript,51,5,0
49 lines of code for unit User.join(),MEDIUM,RAW,8,User.join(),server/models/user.model.ts#L29:97,TypeScript,49,4,0
48 lines of code for unit CalendarPickerPanel.attachEvents(),MEDIUM,RAW,8,CalendarPickerPanel.attachEvents(),client/scripts/components/calendar-picker.ts#L166:225,TypeScript,48,6,0
47 lines of code for unit FilterController.checkServiceHealth(),MEDIUM,RAW,8,FilterController.checkServiceHealth(),client/scripts/controllers/filter-controller.ts#L937:991,TypeScript,47,10,0
46 lines of code for unit account.ts.enterEditMode(),MEDIUM,RAW,8,account.ts.enterEditMode(),client/scripts/account.ts#L450:510,TypeScript,46,9,0
"46 lines of code for unit AccountController.getUserAccount(Request,Response)",MEDIUM,RAW,8,"AccountController.getUserAccount(Request,Response)",server/controllers/account.controller.ts#L170:221,TypeScript,46,6,2
46 lines of code for unit RouteSelectorPanel.render(),MEDIUM,RAW,8,RouteSelectorPanel.render(),client/scripts/components/route-selector.ts#L125:177,TypeScript,46,7,0
46 lines of code for unit auth.ts.handleAgreementAccept(),MEDIUM,RAW,8,auth.ts.handleAgreementAccept(),client/scripts/auth.ts#L226:291,TypeScript,46,18,0
46 lines of code for unit VehicleTracker.createBusIcon(IVehicle),MEDIUM,RAW,8,VehicleTracker.createBusIcon(IVehicle),client/scripts/trackers/vehicle-tracker.ts#L247:301,TypeScript,46,3,1
